0:0:0:0:0:0:0:1 - - [23/Apr/2016:21:42:05 +0800] "GET /eduassistem/student_coursesel.jsp HTTP/1.1" 200 1624
0:0:0:0:0:0:0:1 - - [23/Apr/2016:21:42:06 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [23/Apr/2016:21:42:06 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [23/Apr/2016:21:42:08 +0800] "POST /eduassistem/student_coursesel_execute.jsp HTTP/1.1" 200 343
0:0:0:0:0:0:0:1 - - [23/Apr/2016:21:42:10 +0800] "GET /eduassistem/student_coursesel.jsp HTTP/1.1" 200 1624
0:0:0:0:0:0:0:1 - - [23/Apr/2016:21:42:10 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [23/Apr/2016:21:42:10 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [23/Apr/2016:21:42:12 +0800] "GET /eduassistem/student_courseque.jsp HTTP/1.1" 500 4238
0:0:0:0:0:0:0:1 - - [23/Apr/2016:21:42:12 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [23/Apr/2016:21:42:12 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [23/Apr/2016:21:45:43 +0800] "GET /eduassistem/index.jsp HTTP/1.1" 200 942
0:0:0:0:0:0:0:1 - - [23/Apr/2016:21:45:43 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [23/Apr/2016:21:45:43 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [23/Apr/2016:21:45:49 +0800] "POST /eduassistem/Login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Apr/2016:21:45:49 +0800] "GET /eduassistem/student.jsp HTTP/1.1" 200 1072
0:0:0:0:0:0:0:1 - - [23/Apr/2016:21:45:49 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [23/Apr/2016:21:45:49 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [23/Apr/2016:21:45:51 +0800] "GET /eduassistem/student_courseque.jsp HTTP/1.1" 200 1385
0:0:0:0:0:0:0:1 - - [23/Apr/2016:21:45:51 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [23/Apr/2016:21:45:51 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [23/Apr/2016:21:45:54 +0800] "GET /eduassistem/student_coursesel.jsp HTTP/1.1" 200 1624
0:0:0:0:0:0:0:1 - - [23/Apr/2016:21:45:55 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [23/Apr/2016:21:45:55 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [23/Apr/2016:21:45:57 +0800] "GET /eduassistem/student_courseque.jsp HTTP/1.1" 200 1385
0:0:0:0:0:0:0:1 - - [23/Apr/2016:21:45:57 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [23/Apr/2016:21:45:57 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [23/Apr/2016:21:47:59 +0800] "GET /eduassistem/index.jsp HTTP/1.1" 200 942
0:0:0:0:0:0:0:1 - - [23/Apr/2016:21:47:59 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [23/Apr/2016:21:47:59 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [23/Apr/2016:21:48:05 +0800] "POST /eduassistem/Login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Apr/2016:21:48:05 +0800] "GET /eduassistem/student.jsp HTTP/1.1" 200 1072
0:0:0:0:0:0:0:1 - - [23/Apr/2016:21:48:05 +0800] "GET /favicon.ico HTTP/1.1" 404 1016
